sdram_freq,cpu_cores,cpu_freq,avg_fps,total_time,mem_limit_kb
450,4,1400,3.27,4.03,262144
450,4,1400,2.75,4.54,524288
450,4,1400,2.39,5.54,1048576
450,2,1400,0.75,17.34,262144
450,2,1400,0.69,18.37,524288
450,2,1400,0.71,18.20,1048576
450,1,1400,0.41,32.61,262144
450,1,1400,0.40,33.23,524288
450,1,1400,0.40,32.95,1048576
450,4,1300,3.00,4.65,262144
450,4,1300,2.87,4.23,524288
450,4,1300,2.70,4.38,1048576
450,2,1300,0.66,19.43,262144
450,2,1300,0.67,19.17,524288
450,2,1300,0.66,19.51,1048576
450,1,1300,0.38,35.15,262144
450,1,1300,0.37,35.45,524288
450,1,1300,0.36,36.54,1048576
450,4,1200,2.98,4.56,262144
450,4,1200,2.77,4.50,524288
450,4,1200,3.18,4.11,1048576
450,2,1200,0.59,21.54,262144
450,2,1200,0.62,20.75,524288
450,2,1200,0.62,20.81,1048576
450,1,1200,0.36,37.18,262144
450,1,1200,0.36,36.84,524288
450,1,1200,0.35,37.73,1048576
450,4,1100,2.84,4.86,262144
450,4,1100,2.74,5.01,524288
450,4,1100,2.72,4.32,1048576
450,2,1100,0.60,21.65,262144
450,2,1100,0.59,22.13,524288
450,2,1100,0.55,23.22,1048576
450,1,1100,0.33,40.52,262144
450,1,1100,0.33,40.54,524288
450,1,1100,0.33,40.12,1048576
450,4,1000,2.75,4.87,262144
450,4,1000,2.66,5.33,524288
450,4,1000,2.66,4.81,1048576
450,2,1000,0.56,23.62,262144
450,2,1000,0.53,24.33,524288
450,2,1000,0.55,23.85,1048576
450,1,1000,0.30,43.88,262144
450,1,1000,0.30,43.80,524288
450,1,1000,0.30,43.34,1048576
450,4,900,2.48,5.18,262144
450,4,900,2.57,5.42,524288
450,4,900,2.74,4.77,1048576
450,2,900,0.50,26.26,262144
450,2,900,0.49,26.41,524288
450,2,900,0.48,27.02,1048576
450,1,900,0.28,48.27,262144
450,1,900,0.27,48.71,524288
450,1,900,0.28,48.43,1048576
450,4,800,2.36,5.56,262144
450,4,800,2.35,5.88,524288
450,4,800,2.14,6.92,1048576
450,2,800,0.44,29.23,262144
450,2,800,0.43,29.96,524288
450,2,800,0.44,29.52,1048576
450,1,800,0.25,53.47,262144
450,1,800,0.25,53.29,524288
450,1,800,0.25,53.17,1048576
450,4,700,1.87,6.62,262144
450,4,700,2.26,5.93,524288
450,4,700,2.38,5.33,1048576
450,2,700,0.39,33.49,262144
450,2,700,0.41,32.43,524288
450,2,700,0.40,32.75,1048576
450,1,700,0.22,60.73,262144
450,1,700,0.22,60.69,524288
450,1,700,0.22,60.95,1048576
450,4,600,2.14,6.05,262144
450,4,600,2.05,6.04,524288
450,4,600,1.81,8.09,1048576
450,2,600,0.36,37.39,262144
450,2,600,0.36,37.39,524288
450,2,600,0.36,36.93,1048576
450,1,600,0.20,66.61,262144
450,1,600,0.21,65.74,524288
450,1,600,0.21,65.52,1048576
400,4,1400,0.71,25.03,262144
400,4,1400,3.83,3.53,524288
400,4,1400,3.13,4.06,1048576
400,2,1400,0.80,17.54,262144
400,2,1400,0.79,17.74,524288
400,2,1400,0.78,17.79,1048576
400,1,1400,0.45,31.17,262144
400,1,1400,0.45,31.20,524288
400,1,1400,0.45,31.18,1048576
400,4,1300,5.12,2.62,262144
400,4,1300,5.09,2.63,524288
400,4,1300,5.07,2.64,1048576
400,2,1300,0.75,18.73,262144
400,2,1300,0.51,27.08,524288
400,2,1300,0.71,19.24,1048576
400,1,1300,0.40,34.51,262144
400,1,1300,0.41,33.63,524288
400,1,1300,0.42,33.62,1048576
400,4,1200,4.86,2.75,262144
400,4,1200,4.46,2.94,524288
400,4,1200,4.40,2.96,1048576
400,2,1200,0.74,18.83,262144
400,2,1200,0.74,18.86,524288
400,2,1200,0.74,18.88,1048576
400,1,1200,0.39,35.54,262144
400,1,1200,0.39,35.42,524288
400,1,1200,0.39,35.33,1048576
400,4,1100,4.49,2.96,262144
400,4,1100,4.57,2.93,524288
400,4,1100,4.32,3.04,1048576
400,2,1100,0.69,20.10,262144
400,2,1100,0.69,20.12,524288
400,2,1100,0.69,20.10,1048576
400,1,1100,0.36,38.30,262144
400,1,1100,0.36,38.36,524288
400,1,1100,0.36,38.34,1048576
400,4,1000,5.14,2.58,262144
400,4,1000,4.86,2.72,524288
400,4,1000,4.55,2.84,1048576
400,2,1000,0.63,21.94,262144
400,2,1000,0.63,21.91,524288
400,2,1000,0.64,21.85,1048576
400,1,1000,0.34,41.04,262144
400,1,1000,0.34,41.07,524288
400,1,1000,0.34,41.01,1048576
400,4,900,4.54,2.94,262144
400,4,900,4.83,2.75,524288
400,4,900,4.50,2.91,1048576
400,2,900,0.57,24.27,262144
400,2,900,0.57,24.23,524288
400,2,900,0.58,24.20,1048576
400,1,900,0.30,45.81,262144
400,1,900,0.30,45.87,524288
400,1,900,0.30,45.83,1048576
400,4,800,4.29,3.07,262144
400,4,800,4.47,2.96,524288
400,4,800,4.36,3.02,1048576
400,2,800,0.51,27.13,262144
400,2,800,0.51,27.07,524288
400,2,800,0.51,27.15,1048576
400,1,800,0.27,51.49,262144
400,1,800,0.27,51.49,524288
400,1,800,0.27,51.48,1048576
400,4,700,3.85,3.43,262144
400,4,700,4.06,3.27,524288
400,4,700,3.69,3.73,1048576
400,2,700,0.45,30.88,262144
400,2,700,0.45,30.98,524288
400,2,700,0.45,30.99,1048576
400,1,700,0.24,58.59,262144
400,1,700,0.24,58.58,524288
400,1,700,0.24,58.73,1048576
400,4,600,3.58,3.68,262144
400,4,600,3.39,3.97,524288
400,4,600,3.32,3.90,1048576
400,2,600,0.39,35.48,262144
400,2,600,0.39,35.43,524288
400,2,600,0.39,35.34,1048576
400,1,600,0.22,63.79,262144
400,1,600,0.22,63.77,524288
400,1,600,0.22,63.77,1048576
350,4,1400,0.54,26.55,262144
350,4,1400,2.18,5.94,524288
350,4,1400,4.85,2.78,1048576
350,2,1400,0.78,17.82,262144
350,2,1400,0.78,17.96,524288
350,2,1400,0.78,18.06,1048576
350,1,1400,0.44,31.39,262144
350,1,1400,0.44,31.33,524288
350,1,1400,0.45,31.23,1048576
350,4,1300,4.79,2.81,262144
350,4,1300,4.74,2.83,524288
350,4,1300,4.71,2.84,1048576
350,2,1300,0.74,18.76,262144
350,2,1300,0.75,18.70,524288
350,2,1300,0.74,18.72,1048576
350,1,1300,0.42,33.36,262144
350,1,1300,0.42,33.37,524288
350,1,1300,0.42,33.25,1048576
350,4,1200,4.68,2.86,262144
350,4,1200,4.70,2.85,524288
350,4,1200,4.69,2.85,1048576
350,2,1200,0.74,18.86,262144
350,2,1200,0.74,18.88,524288
350,2,1200,0.73,18.95,1048576
350,1,1200,0.39,35.53,262144
350,1,1200,0.39,35.60,524288
350,1,1200,0.39,35.77,1048576
350,4,1100,4.48,2.98,262144
350,4,1100,4.49,2.98,524288
350,4,1100,4.37,3.06,1048576
350,2,1100,0.68,20.23,262144
350,2,1100,0.69,20.08,524288
350,2,1100,0.69,20.09,1048576
350,1,1100,0.36,38.37,262144
350,1,1100,0.36,38.44,524288
350,1,1100,0.36,38.47,1048576
350,4,1000,5.04,2.63,262144
350,4,1000,5.03,2.64,524288
350,4,1000,5.08,2.62,1048576
350,2,1000,0.63,21.97,262144
350,2,1000,0.63,21.92,524288
350,2,1000,0.63,21.94,1048576
350,1,1000,0.34,41.05,262144
350,1,1000,0.34,41.04,524288
350,1,1000,0.34,41.02,1048576
350,4,900,4.74,2.80,262144
350,4,900,4.73,2.80,524288
350,4,900,4.75,2.79,1048576
350,2,900,0.57,24.28,262144
350,2,900,0.57,24.24,524288
350,2,900,0.57,24.30,1048576
350,1,900,0.31,45.67,262144
350,1,900,0.30,45.73,524288
350,1,900,0.30,45.74,1048576
350,4,800,4.42,3.00,262144
350,4,800,4.41,3.00,524288
350,4,800,4.42,3.00,1048576
350,2,800,0.51,27.18,262144
350,2,800,0.51,27.09,524288
350,2,800,0.51,27.15,1048576
350,1,800,0.27,51.54,262144
350,1,800,0.27,51.55,524288
350,1,800,0.27,51.51,1048576
350,4,700,4.05,3.27,262144
350,4,700,4.05,3.26,524288
350,4,700,4.03,3.28,1048576
350,2,700,0.45,30.95,262144
350,2,700,0.45,31.00,524288
350,2,700,0.45,31.04,1048576
350,1,700,0.24,58.81,262144
350,1,700,0.24,58.72,524288
350,1,700,0.24,58.73,1048576
350,4,600,3.61,3.66,262144
350,4,600,3.60,3.67,524288
350,4,600,3.61,3.65,1048576
350,2,600,0.39,35.49,262144
350,2,600,0.39,35.45,524288
350,2,600,0.39,35.38,1048576
350,1,600,0.22,63.87,262144
350,1,600,0.22,63.83,524288
350,1,600,0.22,63.90,1048576
300,4,1400,0.66,25.40,262144
300,4,1400,2.78,4.96,524288
300,4,1400,4.06,3.24,1048576
300,2,1400,0.80,17.39,262144
300,2,1400,0.79,17.69,524288
300,2,1400,0.78,17.91,1048576
300,1,1400,0.44,31.65,262144
300,1,1400,0.44,31.57,524288
300,1,1400,0.44,31.61,1048576
300,4,1300,4.40,3.07,262144
300,4,1300,4.37,3.08,524288
300,4,1300,4.37,3.07,1048576
300,2,1300,0.74,18.82,262144
300,2,1300,0.75,18.70,524288
300,2,1300,0.74,18.77,1048576
300,1,1300,0.42,33.55,262144
300,1,1300,0.42,33.50,524288
300,1,1300,0.41,33.58,1048576
300,4,1200,4.28,3.13,262144
300,4,1200,4.29,3.12,524288
300,4,1200,4.31,3.11,1048576
300,2,1200,0.73,19.12,262144
300,2,1200,0.73,19.19,524288
300,2,1200,0.73,19.13,1048576
300,1,1200,0.39,36.01,262144
300,1,1200,0.39,35.90,524288
300,1,1200,0.39,36.04,1048576
300,4,1100,4.16,3.23,262144
300,4,1100,4.16,3.22,524288
300,4,1100,4.17,3.14,1048576
300,2,1100,0.69,20.20,262144
300,2,1100,0.69,20.14,524288
300,2,1100,0.68,20.29,1048576
300,1,1100,0.36,38.44,262144
300,1,1100,0.36,38.47,524288
300,1,1100,0.36,38.45,1048576
300,4,1000,4.84,2.75,262144
300,4,1000,4.88,2.73,524288
300,4,1000,4.85,2.76,1048576
300,2,1000,0.63,21.95,262144
300,2,1000,0.63,22.00,524288
300,2,1000,0.63,21.98,1048576
300,1,1000,0.34,41.03,262144
300,1,1000,0.34,41.16,524288
300,1,1000,0.34,41.11,1048576
300,4,900,4.57,2.90,262144
300,4,900,4.62,2.88,524288
300,4,900,4.59,2.89,1048576
300,2,900,0.57,24.30,262144
300,2,900,0.57,24.29,524288
300,2,900,0.57,24.29,1048576
300,1,900,0.30,45.76,262144
300,1,900,0.30,45.69,524288
300,1,900,0.30,45.76,1048576
300,4,800,4.28,3.10,262144
300,4,800,4.25,3.11,524288
300,4,800,4.29,3.09,1048576
300,2,800,0.51,27.14,262144
300,2,800,0.51,27.20,524288
300,2,800,0.51,27.23,1048576
300,1,800,0.27,51.60,262144
300,1,800,0.27,51.63,524288
300,1,800,0.27,51.62,1048576
300,4,700,3.92,3.38,262144
300,4,700,3.92,3.39,524288
300,4,700,3.80,3.49,1048576
300,2,700,0.45,30.92,262144
300,2,700,0.45,31.17,524288
300,2,700,0.45,30.98,1048576
300,1,700,0.24,58.86,262144
300,1,700,0.24,58.89,524288
300,1,700,0.24,58.91,1048576
300,4,600,3.51,3.75,262144
300,4,600,3.53,3.75,524288
300,4,600,3.55,3.72,1048576
300,2,600,0.39,35.39,262144
300,2,600,0.40,35.12,524288
300,2,600,0.39,35.64,1048576
300,1,600,0.22,63.78,262144
300,1,600,0.22,63.85,524288
300,1,600,0.22,63.89,1048576
250,4,1400,1.55,12.63,262144
250,4,1400,2.05,6.62,524288
250,4,1400,3.84,3.53,1048576
250,2,1400,0.78,17.88,262144
250,2,1400,0.77,18.13,524288
250,2,1400,0.76,18.30,1048576
250,1,1400,0.43,32.08,262144
250,1,1400,0.43,32.07,524288
250,1,1400,0.43,32.01,1048576
250,4,1300,3.81,3.56,262144
250,4,1300,3.80,3.55,524288
250,4,1300,3.80,3.55,1048576
250,2,1300,0.72,19.18,262144
250,2,1300,0.73,19.13,524288
250,2,1300,0.73,19.16,1048576
250,1,1300,0.41,33.78,262144
250,1,1300,0.41,33.74,524288
250,1,1300,0.41,33.72,1048576
250,4,1200,3.73,3.62,262144
250,4,1200,3.72,3.63,524288
250,4,1200,3.75,3.60,1048576
250,2,1200,0.71,19.53,262144
250,2,1200,0.71,19.46,524288
250,2,1200,0.71,19.51,1048576
250,1,1200,0.39,36.16,262144
250,1,1200,0.38,36.18,524288
250,1,1200,0.38,36.11,1048576
250,4,1100,4.73,2.82,262144
250,4,1100,4.71,2.83,524288
250,4,1100,4.75,2.82,1048576
250,2,1100,0.69,20.31,262144
250,2,1100,0.68,20.34,524288
250,2,1100,0.69,20.28,1048576
250,1,1100,0.36,38.52,262144
250,1,1100,0.36,38.47,524288
250,1,1100,0.36,38.58,1048576
250,4,1000,4.56,2.93,262144
250,4,1000,4.57,2.92,524288
250,4,1000,4.53,2.94,1048576
250,2,1000,0.63,22.08,262144
250,2,1000,0.63,22.15,524288
250,2,1000,0.63,22.11,1048576
250,1,1000,0.34,41.06,262144
250,1,1000,0.34,40.95,524288
250,1,1000,0.34,41.04,1048576
250,4,900,4.32,3.08,262144
250,4,900,4.37,3.05,524288
250,4,900,4.30,3.10,1048576
250,2,900,0.57,24.34,262144
250,2,900,0.57,24.31,524288
250,2,900,0.57,24.41,1048576
250,1,900,0.30,45.97,262144
250,1,900,0.30,45.75,524288
250,1,900,0.30,46.02,1048576
250,4,800,4.10,3.25,262144
250,4,800,4.10,3.25,524288
250,4,800,4.11,3.23,1048576
250,2,800,0.51,27.22,262144
250,2,800,0.51,27.15,524288
250,2,800,0.51,27.27,1048576
250,1,800,0.27,51.54,262144
250,1,800,0.27,51.64,524288
250,1,800,0.27,51.72,1048576
250,4,700,3.77,3.51,262144
250,4,700,3.79,3.49,524288
250,4,700,3.77,3.51,1048576
250,2,700,0.45,31.10,262144
250,2,700,0.45,31.02,524288
250,2,700,0.45,31.00,1048576
250,1,700,0.24,58.83,262144
250,1,700,0.24,58.86,524288
250,1,700,0.24,58.97,1048576
250,4,600,3.43,3.86,262144
250,4,600,3.43,3.85,524288
250,4,600,3.40,3.87,1048576
250,2,600,0.39,35.46,262144
250,2,600,0.39,35.56,524288
250,2,600,0.39,35.63,1048576
250,1,600,0.22,64.22,262144
250,1,600,0.22,64.21,524288
250,1,600,0.22,64.27,1048576
200,4,1400,0.88,13.97,262144
200,4,1400,1.62,7.43,524288
200,4,1400,3.05,4.46,1048576
200,2,1400,0.75,18.59,262144
200,2,1400,0.73,19.01,524288
200,2,1400,0.74,19.00,1048576
200,1,1400,0.42,33.00,262144
200,1,1400,0.42,32.93,524288
200,1,1400,0.42,32.97,1048576
200,4,1300,3.02,4.49,262144
200,4,1300,3.01,4.51,524288
200,4,1300,3.01,4.50,1048576
200,2,1300,0.70,19.81,262144
200,2,1300,0.70,19.75,524288
200,2,1300,0.71,19.74,1048576
200,1,1300,0.40,34.55,262144
200,1,1300,0.40,34.47,524288
200,1,1300,0.40,34.45,1048576
200,4,1200,2.96,4.58,262144
200,4,1200,2.92,4.64,524288
200,4,1200,2.97,4.56,1048576
200,2,1200,0.69,20.12,262144
200,2,1200,0.69,20.08,524288
200,2,1200,0.69,20.12,1048576
200,1,1200,0.38,37.05,262144
200,1,1200,0.38,37.12,524288
200,1,1200,0.39,35.57,1048576
200,4,1100,4.18,3.21,262144
200,4,1100,4.19,3.21,524288
200,4,1100,4.19,3.21,1048576
200,2,1100,0.68,20.45,262144
200,2,1100,0.68,20.43,524288
200,2,1100,0.68,20.58,1048576
200,1,1100,0.36,38.84,262144
200,1,1100,0.36,38.72,524288
200,1,1100,0.36,38.76,1048576
200,4,1000,4.05,3.31,262144
200,4,1000,4.08,3.29,524288
200,4,1000,4.08,3.29,1048576
200,2,1000,0.63,22.16,262144
200,2,1000,0.62,22.22,524288
200,2,1000,0.63,22.21,1048576
200,1,1000,0.34,41.21,262144
200,1,1000,0.34,41.27,524288
200,1,1000,0.34,41.29,1048576
200,4,900,3.92,3.41,262144
200,4,900,3.92,3.41,524288
200,4,900,3.93,3.41,1048576
200,2,900,0.57,24.40,262144
200,2,900,0.57,24.44,524288
200,2,900,0.57,24.48,1048576
200,1,900,0.30,46.35,262144
200,1,900,0.30,46.33,524288
200,1,900,0.30,46.36,1048576
200,4,800,3.73,3.57,262144
200,4,800,3.74,3.56,524288
200,4,800,3.72,3.58,1048576
200,2,800,0.51,27.48,262144
200,2,800,0.51,27.34,524288
200,2,800,0.50,27.54,1048576
200,1,800,0.27,51.86,262144
200,1,800,0.27,51.75,524288
200,1,800,0.27,51.85,1048576
200,4,700,3.52,3.78,262144
200,4,700,3.46,3.84,524288
200,4,700,3.52,3.78,1048576
200,2,700,0.45,31.12,262144
200,2,700,0.45,31.09,524288
200,2,700,0.45,31.22,1048576
200,1,700,0.24,58.91,262144
200,1,700,0.24,58.92,524288
200,1,700,0.24,59.05,1048576
200,4,600,3.17,4.24,262144
200,4,600,3.26,4.07,524288
200,4,600,3.25,4.08,1048576
200,2,600,0.39,35.58,262144
200,2,600,0.39,35.63,524288
200,2,600,0.39,35.50,1048576
200,1,600,0.22,64.43,262144
200,1,600,0.22,64.48,524288
200,1,600,0.22,64.45,1048576
